"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US19081270200","Census Tract 2702, Hancock County, Iowa","1134","117","1007","101","127","69",
"1400000US19081270300","Census Tract 2703, Hancock County, Iowa","1267","110","1119","116","148","60",
"1400000US19081270400","Census Tract 2704, Hancock County, Iowa","1185","105","979","123","206","59",
"1400000US19083480100","Census Tract 4801, Hardin County, Iowa","1251","114","1071","91","180","76",
"1400000US19083480200","Census Tract 4802, Hardin County, Iowa","1269","134","1168","134","101","72",
"1400000US19083480300","Census Tract 4803, Hardin County, Iowa","1556","122","1349","128","207","92",
"1400000US19083480400","Census Tract 4804, Hardin County, Iowa","1425","101","1289","99","136","65",
"1400000US19083480500","Census Tract 4805, Hardin County, Iowa","1394","128","1232","134","162","58",
"1400000US19083480600","Census Tract 4806, Hardin County, Iowa","1298","142","1076","124","222","82",
"1400000US19085290100","Census Tract 2901, Harrison County, Iowa","1360","101","1144","109","216","59",
"1400000US19085290200","Census Tract 2902, Harrison County, Iowa","1473","102","1329","92","144","57",
"1400000US19085290300","Census Tract 2903, Harrison County, Iowa","1310","116","1192","110","118","54",
"1400000US19085290400","Census Tract 2904, Harrison County, Iowa","1642","123","1450","132","192","88",
"1400000US19085290500","Census Tract 2905, Harrison County, Iowa","1052","118","979","114","73","57",
"1400000US19087970100","Census Tract 9701, Henry County, Iowa","1725","110","1567","127","158","64",
"1400000US19087970200","Census Tract 9702, Henry County, Iowa","1239","107","1148","86","91","58",
